ts_code,ann_date,end_date,eps,roe,grossprofit_margin,netprofit_margin,or_yoy,netprofit_yoy
600900.SH,20220430,20220331,0.138,1.7168,48.6089,32.9609,9.7832,9.3435
600900.SH,20220430,20220331,0.138,1.7168,48.6089,32.9609,9.7832,9.3435
600900.SH,20220831,20220630,0.4965,6.3462,58.6529,45.1481,27.5707,31.5728
600900.SH,20220831,20220630,0.4965,6.3462,58.6529,45.1481,27.5707,31.5728
600900.SH,20221031,20220930,0.833,10.4128,61.0239,46.5702,2.0303,-3.1844
600900.SH,20221031,20220930,0.833,10.4128,61.0239,46.5702,2.0303,-3.1844
600900.SH,20230428,20221231,0.937,11.6267,57.2941,41.5849,-6.4439,-18.8938
600900.SH,20230428,20221231,0.937,11.6267,57.2941,41.5849,-6.4439,-18.8938
600900.SH,20230428,20230331,0.1527,1.9515,49.4945,24.2726,25.1657,16.2834
600900.SH,20230428,20230331,0.1527,1.9515,49.4945,24.2726,25.1657,16.2834
600900.SH,20230831,20230630,0.363,4.7945,49.9307,29.5177,-1.5363,-22.8539
600900.SH,20231031,20230930,0.8797,11.2488,57.8916,37.8522,9.0233,4.1337
600900.SH,20240430,20231231,1.1132,14.0836,57.8263,35.7903,13.4302,14.8068
600900.SH,20240430,20240331,0.1621,1.9498,48.1379,26.0611,1.581,9.7962
600900.SH,20240831,20240630,0.4644,5.7512,52.376,33.2778,12.3759,27.9243
600900.SH,20241031,20240930,1.1454,13.6119,61.1917,42.7819,14.6496,30.2041
600900.SH,20250430,20241231,1.3281,15.7895,59.1341,38.9744,8.1239,19.2756
600900.SH,20250430,20250331,0.2117,2.4317,52.9767,31.0924,8.6769,30.5584
600900.SH,20250430,20250331,0.2117,2.4317,52.9767,31.0924,8.6769,30.5584
600900.SH,20250830,20250630,0.5336,6.2649,56.1225,36.1948,5.3385,14.8554
